Record_MonthName,Fault_Group,Fleet,Record_Number
1/1/2016,Control System,ABC,15672
1/1/2016,Control System,ABC,15676
1/1/2016,Control System,ABC,15681
1/1/2016,Control System,XYZ,15684
1/1/2016,Control System,ABC,15690
1/1/2016,Control System,ABC,15692
1/1/2016,Control System,ABC,15698
1/1/2016,Control System,ABC,15699
1/1/2016,Control System,XYZ,15704
1/1/2016,Door System,ABC,15705
1/1/2016,Door System,ABC,15708
1/1/2016,Door System,ABC,15712
1/1/2016,Door System,XYZ,15715
1/1/2016,Door System,ABC,15716
1/1/2016,Door System,ABC,15717
1/1/2016,Door System,ABC,15718
1/1/2016,Door System,ABC,15719
1/1/2016,Propulsion System,ABC,15720
1/1/2016,Propulsion System,ABC,15724
1/1/2016,Propulsion System,ABC,15726
1/1/2016,Propulsion System,ABC,15727
1/1/2016,Propulsion System,XYZ,15731
1/1/2016,Propulsion System,XYZ,15733
1/1/2016,Propulsion System,ABC,15739
1/1/2016,Propulsion System,ABC,15742
1/1/2016,Propulsion System,ABC,15745
1/1/2016,Propulsion System,ABC,15747
1/1/2016,Propulsion System,XYZ,15753
1/1/2016,Pneumatic System,ABC,15755
1/1/2016,Pneumatic System,ABC,15759
1/1/2016,Pneumatic System,ABC,15760
1/1/2016,Pneumatic System,XYZ,15766
1/1/2016,Pneumatic System,ABC,15767
1/1/2016,Pneumatic System,ABC,15773
1/1/2016,Pneumatic System,XYZ,15775
1/1/2016,Pneumatic System,XYZ,15776
1/1/2016,Pneumatic System,ABC,15781
1/1/2016,Pneumatic System,XYZ,15785
1/1/2016,Pneumatic System,ABC,15788
1/1/2016,Pneumatic System,ABC,15790
1/1/2016,Pneumatic System,ABC,15796
1/1/2016,Pneumatic System,XYZ,15799
1/1/2016,Electrical System,ABC,15804
1/1/2016,Electrical System,XYZ,15807
1/1/2016,Electrical System,ABC,15809
1/1/2016,Brake System,XYZ,15813
1/1/2016,Brake System,ABC,15814
1/1/2016,Brake System,XYZ,15819
1/1/2016,Auxiliary System,ABC,15822
1/1/2016,Auxiliary System,ABC,15825
1/1/2016,Auxiliary System,ABC,15827
1/1/2016,Auxiliary System,ABC,15829
1/1/2016,Auxiliary System,ABC,15831
1/1/2016,Auxiliary System,ABC,15833
1/1/2016,Auxiliary System,ABC,15839
1/1/2016,Auxiliary System,ABC,15840
1/1/2016,Auxiliary System,ABC,15844
1/1/2016,Auxiliary System,ABC,15847
1/1/2016,Auxiliary System,ABC,15848
1/1/2016,Auxiliary System,ABC,15850
1/1/2016,Auxiliary System,XYZ,15854
1/1/2016,Aircon System,ABC,15860
1/1/2016,Aircon System,ABC,15861
1/1/2016,Aircon System,ABC,15863
1/1/2016,Aircon System,ABC,15866
1/1/2016,Aircon System,ABC,15872
1/1/2016,Aircon System,ABC,15875
1/1/2016,Aircon System,ABC,15878
1/1/2016,Aircon System,ABC,15881
1/1/2016,Aircon System,ABC,15887
1/1/2016,Aircon System,ABC,15888
1/1/2016,Aircon System,ABC,15890
1/1/2016,Aircon System,ABC,15892
1/1/2016,Aircon System,ABC,15898
1/1/2016,Aircon System,ABC,15903
1/1/2016,Aircon System,XYZ,15904
1/1/2016,Aircon System,ABC,15905
1/1/2016,Aircon System,ABC,15911
1/1/2016,Aircon System,ABC,15914
1/1/2016,Aircon System,ABC,15916
1/1/2016,Aircon System,ABC,15922
1/1/2016,Aircon System,ABC,15926
1/1/2016,Aircon System,ABC,15932
1/1/2016,Aircon System,ABC,15938
1/1/2016,Aircon System,ABC,15940
1/1/2016,Aircon System,ABC,15943
1/1/2016,Aircon System,ABC,15944
1/1/2016,Aircon System,ABC,15947
1/1/2016,Aircon System,ABC,15948
1/1/2016,Aircon System,ABC,15954
1/1/2016,Aircon System,XYZ,15959
1/1/2016,Aircon System,ABC,15962
1/1/2016,Aircon System,ABC,15965
1/1/2016,Aircon System,ABC,15971
1/1/2016,Aircon System,ABC,15973
1/1/2016,Aircon System,ABC,15979
1/1/2016,Aircon System,ABC,15981
1/1/2016,Aircon System,ABC,15983
1/1/2016,Aircon System,ABC,15987
1/1/2016,Aircon System,ABC,15988
1/1/2016,Aircon System,ABC,15990
1/1/2016,Aircon System,ABC,15996
1/1/2016,Aircon System,ABC,16001
1/1/2016,Aircon System,XYZ,16002
1/1/2016,Aircon System,ABC,16004
1/1/2016,Aircon System,ABC,16009
1/1/2016,Aircon System,ABC,16011
1/1/2016,Aircon System,ABC,16013
1/1/2016,Aircon System,ABC,16016
1/1/2016,Aircon System,XYZ,16020
1/1/2016,Aircon System,ABC,16024
1/1/2016,Aircon System,XYZ,16028
1/1/2016,Aircon System,ABC,16029
1/1/2016,Aircon System,ABC,16030
1/1/2016,Aircon System,ABC,16034
1/1/2016,Aircon System,ABC,16038
1/1/2016,Aircon System,ABC,16041
1/1/2016,Aircon System,ABC,16046
1/1/2016,Aircon System,ABC,16051
1/1/2016,Aircon System,ABC,16054
1/1/2016,Aircon System,ABC,16055
1/1/2016,Aircon System,ABC,16057
1/1/2016,Aircon System,ABC,16061
1/2/2016,Control System,ABC,16064
1/2/2016,Control System,ABC,16068
1/2/2016,Control System,XYZ,16072
1/2/2016,Control System,ABC,16075
1/2/2016,Control System,ABC,16081
1/2/2016,Control System,ABC,16087
1/2/2016,Control System,ABC,16091
1/2/2016,Control System,ABC,16092
1/2/2016,Control System,ABC,16095
1/2/2016,Control System,ABC,16097
1/2/2016,Control System,ABC,16098
1/2/2016,Door System,ABC,16099
1/2/2016,Door System,ABC,16102
1/2/2016,Door System,ABC,16106
1/2/2016,Door System,XYZ,16109
1/2/2016,Door System,ABC,16115
1/2/2016,Door System,XYZ,16117
1/2/2016,Door System,ABC,16118
1/2/2016,Door System,ABC,16123
1/2/2016,Door System,ABC,16127
1/2/2016,Door System,XYZ,16131
1/2/2016,Door System,ABC,16136
1/2/2016,Door System,ABC,16138
1/2/2016,Door System,ABC,16141
1/2/2016,Door System,ABC,16143
1/2/2016,Propulsion System,ABC,16146
1/2/2016,Propulsion System,ABC,16149
1/2/2016,Propulsion System,ABC,16154
1/2/2016,Propulsion System,ABC,16157
1/2/2016,Propulsion System,ABC,16159
1/2/2016,Propulsion System,ABC,16164
1/2/2016,Propulsion System,ABC,16165
1/2/2016,Propulsion System,ABC,16171
1/2/2016,Propulsion System,ABC,16173
1/2/2016,Propulsion System,ABC,16176
1/2/2016,Propulsion System,ABC,16178
1/2/2016,Propulsion System,ABC,16179
1/2/2016,Propulsion System,ABC,16180
1/2/2016,Propulsion System,XYZ,16182
1/2/2016,Propulsion System,ABC,16184
1/2/2016,Propulsion System,ABC,16190
1/2/2016,Propulsion System,ABC,16192
1/2/2016,Propulsion System,ABC,16197
1/2/2016,Propulsion System,ABC,16201
1/2/2016,Propulsion System,ABC,16203
1/2/2016,Propulsion System,ABC,16206
1/2/2016,Propulsion System,ABC,16207
1/2/2016,Propulsion System,XYZ,16210
1/2/2016,Propulsion System,ABC,16215
1/2/2016,Propulsion System,ABC,16220
1/2/2016,Propulsion System,ABC,16222
1/2/2016,Pneumatic System,ABC,16224
1/2/2016,Pneumatic System,ABC,16229
1/2/2016,Pneumatic System,XYZ,16234
1/2/2016,Pneumatic System,XYZ,16237
1/2/2016,Pneumatic System,XYZ,16243
1/2/2016,Electrical System,ABC,16246
1/2/2016,Electrical System,ABC,16252
1/2/2016,Electrical System,ABC,16255
1/2/2016,Electrical System,ABC,16261
1/2/2016,Brake System,ABC,16266
1/2/2016,Brake System,XYZ,16268
1/2/2016,Brake System,XYZ,16272
1/2/2016,Brake System,ABC,16275
1/2/2016,Brake System,XYZ,16277
1/2/2016,Brake System,XYZ,16278
1/2/2016,Brake System,ABC,16284
1/2/2016,Brake System,ABC,16288
1/2/2016,Brake System,XYZ,16293
1/2/2016,Brake System,XYZ,16294
1/2/2016,Brake System,ABC,16299
1/2/2016,Brake System,ABC,16300
1/2/2016,Brake System,ABC,16305
1/2/2016,Brake System,XYZ,16309
1/2/2016,Auxiliary System,ABC,16315
1/2/2016,Auxiliary System,ABC,16321
1/2/2016,Auxiliary System,ABC,16327
1/2/2016,Auxiliary System,ABC,16328
1/2/2016,Auxiliary System,ABC,16333
1/2/2016,Auxiliary System,ABC,16337
1/2/2016,Auxiliary System,ABC,16342
1/2/2016,Auxiliary System,ABC,16344
1/2/2016,Aircon System,ABC,16348
1/2/2016,Aircon System,ABC,16353
1/2/2016,Aircon System,ABC,16354
1/2/2016,Aircon System,ABC,16356
1/2/2016,Aircon System,ABC,16359
1/2/2016,Aircon System,ABC,16363
1/2/2016,Aircon System,ABC,16367
1/2/2016,Aircon System,ABC,16372
1/2/2016,Aircon System,XYZ,16376
1/2/2016,Aircon System,ABC,16381
1/2/2016,Aircon System,ABC,16383
1/2/2016,Aircon System,ABC,16388
1/2/2016,Aircon System,ABC,16391
1/2/2016,Aircon System,XYZ,16393
1/2/2016,Aircon System,ABC,16398
1/2/2016,Aircon System,ABC,16401
1/2/2016,Aircon System,ABC,16403
1/2/2016,Aircon System,ABC,16404
1/2/2016,Aircon System,ABC,16405
1/2/2016,Aircon System,ABC,16407
1/2/2016,Aircon System,ABC,16411
1/2/2016,Aircon System,ABC,16414
1/2/2016,Aircon System,ABC,16416
1/2/2016,Aircon System,ABC,16421
1/2/2016,Aircon System,ABC,16426
1/2/2016,Aircon System,ABC,16432
1/2/2016,Aircon System,ABC,16433
1/2/2016,Aircon System,ABC,16439
1/2/2016,Aircon System,ABC,16441
1/2/2016,Aircon System,ABC,16447
1/2/2016,Aircon System,ABC,16449
1/2/2016,Aircon System,ABC,16455
1/2/2016,Aircon System,ABC,16456
1/2/2016,Aircon System,ABC,16458
1/2/2016,Aircon System,ABC,16462
1/2/2016,Aircon System,ABC,16465
1/2/2016,Aircon System,ABC,16467
1/2/2016,Aircon System,ABC,16470
1/2/2016,Aircon System,ABC,16476
1/2/2016,Aircon System,ABC,16479
1/2/2016,Aircon System,ABC,16485
1/2/2016,Aircon System,ABC,16488
1/2/2016,Aircon System,ABC,16489
1/2/2016,Aircon System,ABC,16490
1/2/2016,Aircon System,ABC,16494
1/2/2016,Aircon System,ABC,16498
1/2/2016,Aircon System,ABC,16502
1/2/2016,Aircon System,ABC,16505
1/2/2016,Aircon System,ABC,16506
1/2/2016,Aircon System,ABC,16510
1/2/2016,Aircon System,ABC,16515
1/2/2016,Aircon System,ABC,16520
1/2/2016,Aircon System,ABC,16521
1/3/2016,Control System,ABC,16524
1/3/2016,Control System,ABC,16530
1/3/2016,Control System,ABC,16536
1/3/2016,Control System,ABC,16542
1/3/2016,Door System,XYZ,16543
1/3/2016,Door System,ABC,16549
1/3/2016,Door System,ABC,16553
1/3/2016,Door System,ABC,16559
1/3/2016,Door System,ABC,16562
1/3/2016,Door System,ABC,16564
1/3/2016,Door System,ABC,16570
1/3/2016,Door System,ABC,16576
1/3/2016,Door System,XYZ,16577
1/3/2016,Door System,ABC,16581
1/3/2016,Door System,XYZ,16587
1/3/2016,Door System,ABC,16592
1/3/2016,Door System,ABC,16594
1/3/2016,Door System,XYZ,16598
1/3/2016,Propulsion System,ABC,16601
1/3/2016,Propulsion System,ABC,16607
1/3/2016,Propulsion System,ABC,16609
1/3/2016,Propulsion System,ABC,16615
1/3/2016,Propulsion System,ABC,16620
1/3/2016,Propulsion System,ABC,16626
1/3/2016,Propulsion System,ABC,16629
1/3/2016,Propulsion System,ABC,16630
1/3/2016,Propulsion System,ABC,16633
1/3/2016,Propulsion System,ABC,16639
1/3/2016,Pneumatic System,ABC,16642
