Record,ABC,XYZ
1/5/2018,403508,246808
1/6/2018,380033,232272
1/7/2018,365334,236649
1/8/2018,364208,241507
1/9/2018,414655,279718
1/10/2018,391868,260552
1/11/2018,411488,264135
1/12/2018,415277,268011
1/1/2019,419095,276050
1/2/2019,386657,257595
1/3/2019,362460,272050
1/4/2019,369466,263112
1/5/2019,378385,254036
1/6/2019,396411,223822
1/7/2019,389016,244253
1/8/2019,406500,256626
1/9/2019,414622,238295
1/10/2019,390129,254607
1/11/2019,394387,271080
1/12/2019,398617,222235
1/1/2020,364634,226820
1/2/2020,382017,240012
1/3/2020,365082,229650
1/4/2020,369265,226681
1/5/2020,380486,198459
1/6/2020,419495,171345
1/7/2020,380150,237576
1/8/2020,365575,263257
1/9/2020,420000,255238
1/10/2020,387551,246537
1/11/2020,404080,250298
1/12/2020,382179,248700
1/1/2021,376199,259446
1/2/2021,380071,263424
1/3/2021,342398,235919
1/4/2021,405038,244895
1/5/2021,383638,235069
1/6/2021,374605,265727
1/7/2021,385664,250140
1/8/2021,358482,282782
1/9/2021,370919,279422
1/10/2021,384377,237756
1/11/2021,425738,226735
1/12/2021,384199,239356
1/1/2022,339971,281013
1/2/2022,403102,250054
1/3/2022,362556,217637
1/4/2022,424630,230858
1/5/2022,421471,215912
1/6/2022,415755,229624
